# in Season,Year,Latitude,Longitude,Max Winds (kt),Category at Landfall,Central Prssure (mb),Storm Name,County,State
13,2020,29.8,-93.3,130,4,939,Laura,Cameron,LA
19,2020,30.3,-87.7,95,2,965,Sally,Baldwin,AL
26,2020,29.8,-93.1,85,2,970,Delta,Cameron,LA
28,2020,29.2,-90.6,100,3,970,Zeta,Terrebonne,LA
9,2021,29.1,-90.2,130,4,931,Ida,Lafourche,LA
14,2021,28.7,-95.7,65,1,991,Nicholas,Matagorda,TX
9,2022,26.7,-82.2,130,4,941,Ian,Lee,FL
9,2022,24.6,-82.9,110,3,952,Ian,Monroe,FL
9,2022,26.7,-82.2,130,4,941,Ian,Lee,FL
9,2022,26.8,-82.0,125,4,945,Ian,Charlotte,FL
9,2022,33.3,-79.2,70,1,978,Ian,Georgetown,SC
9,2023,29.9,-83.6,100,3,950,Idalia,Taylor,FL
