#,Date,Season,Time,Latitude,Lat,Longitude,Long,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),OCI (mb),Size (nm),States Affected,Name
12,8/29/05,2005,1445Z,30.2,30.2N,-89.6,89.6W,105,3,20,928,----,---,"LA3,MS3,AL1",Katrina
16,9/15/05,2005,0600Z,34.5,34.5N,-76.3,76.3W,65,1,---,982,----,---,NC1,Ophelia
18,9/24/05,2005,0740Z,29.7,29.7N,-93.7,93.7W,100,3,20,937,----,---,"LA3,CTX2",Rita
25,10/24/05,2005,1030Z,25.9,25.9N,-81.7,81.7W,105,3,25,950,----,---,"BFL3,CFL2",Wilma
9,9/13/07,2007,0700Z,29.6,29.6N,-94.3,94.3W,80,1,10,985,----,---,"CTX1,LA1",Humberto
4,7/23/08,2008,1820Z,26.4,26.4N,-97.2,97.2W,75,1,10,967,----,---,ATX1,Dolly
4,7/23/08,2008,2000Z,26.4,26.4N,-97.4,97.4W,70,1,10,967,----,---,ATX1,Dolly
7,9/1/08,2008,1500Z,29.2,29.2N,-90.7,90.7W,90,2,25,954,----,---,LA2,Gustav
9,9/13/08,2008,0700Z,29.3,29.3N,-94.7,94.7W,95,2,30,950,----,---,"CTX2,LA1",Ike
9,8/27/11,2011,1200Z,34.7,34.7N,-76.6,76.6W,75,1,45,952,----,---,NC1,Irene
9,8/29/12,2012,0000Z,28.9,28.9N,-89.4,89.4W,70,1,40,967,----,---,LA1,Isaac
9,8/29/12,2012,0800Z,29.2,29.2N,-90.2,90.2W,70,1,40,966,----,---,LA1,Isaac
18,10/29/12,2012,2035Z,38.7,38.7N,-73.9,73.9W,65,1,80,942,----,---,NY1,Sandy
1,7/4/14,2014,0315Z,34.7,34.7N,-76.6,76.6W,85,2,20,973,----,---,NC2,Arthur
1,7/4/14,2014,0800Z,35.8,35.8N,-75.5,75.5W,85,2,15,973,----,---,NC2,Arthur
9,9/2/16,2016,0530Z,30.1,30.1N,-84.1,84.1W,70,1,20,981,----,---,AFL1,Hermine
14,10/8/16,2016,1500Z,33,33.0N,-79.5,79.5W,85,2,---,963,----,---,"DFL2, GA1, SC1, NC1",Matthew
9,8/26/17,2017,0300Z,28,28.0N,-96.9,96.9W,115,4,10,937,----,---,BTX4,Harvey
9,8/26/17,2017,0600Z,28.2,28.2N,-97.1,97.1W,105,3,10,948,----,---,BTX4,Harvey
