# in Season,Year,Latitude,Longitude,Max Winds (kt),Category at Landfall,Central Prssure (mb),Storm Name,Month,County,State,FIPS code,Annual HPI Change (%),HPI,County & State,PerCapita Income,Total Jobs,Year -2,Year -1,Year +1,Year +2,Year +3,Annual HPI Change (%) -1,Annual HPI Change (%) +1,Annual HPI Change (%) +2,Annual HPI Change (%) +3,PerCapita Income -2,PerCapita Income -1,PerCapita Income +1,PerCapita Income +2,PerCapita Income +3,Total Jobs -2,Total Jobs -1,Total Jobs +1,Total Jobs +2,Total Jobs +3,Annual Income Change (%) -1,Annual Income Change (%),Annual Income Change (%) +1,Annual Income Change (%) +2,Annual Income Change (%) +3,Annual Jobs Change (%) -1,Annual Jobs Change (%),Annual Jobs Change (%) +1,Annual Jobs Change (%) +2,Annual Jobs Change (%) +3,National HPI AC Mean,National HPI AC Mean -1,National HPI AC Mean +1,National HPI AC Mean +2,National HPI AC Mean +3,State HPI AC Mean,State HPI AC Mean -1,State HPI AC Mean +1,State HPI AC Mean +2,State HPI AC Mean +3,National Income AC Mean,National Income AC Mean -1,National Income AC Mean +1,National Income AC Mean +2,National Income AC Mean +3,State Income AC Mean,State Income AC Mean -1,State Income AC Mean +1,State Income AC Mean +2,State Income AC Mean +3,National Jobs AC Mean,National Jobs AC Mean -1,National Jobs AC Mean +1,National Jobs AC Mean +2,National Jobs AC Mean +3,State Jobs AC Mean,State Jobs AC Mean -1,State Jobs AC Mean +1,State Jobs AC Mean +2,State Jobs AC Mean +3
17,1995,30.3,-87.1,100,3,942,Opal,10,Escambia,FL,12033,4.78,213.16,"Escambia, FL",54831.4,150901.0,1993.0,1994.0,1996.0,1997.0,1998.0,3.43,5.35,5.62,3.3,50282.29,51871.65,58648.14,61972.58,65852.38,144276.0,146855.0,155210.0,162085.0,168903.0,3.160874335675644,5.705910646759839,6.9608654894823,5.668449161388583,6.260510696827537,1.7875460922121489,2.755098566613326,2.855514542647166,4.429482636428065,4.206434895270999,5.657708978328173,4.436508114157807,3.970209825997953,4.136207935710698,3.910413223140496,3.3189361702127655,0.7688636363636363,3.0119148936170212,3.1686,4.533207547169811,5.124349347421101,6.40160314031083,6.679530996986705,5.67333804989684,5.67333804989684,7.768202379916087,6.000268006814367,6.536517021213749,6.529043543798591,7.7380660344615935,2.978020460047574,3.3333673106447814,1.9792739287194125,2.310141406644813,2.043440399309318,3.825203981296424,3.6850737997210428,3.714624804300109,3.7935124468376062,3.2395563022306115
2,1996,34.3,-77.8,90,2,974,Betha,7,New Hanover,NC,37129,6.32,321.19,"New Hanover, NC",35480.2,95413.0,1994.0,1995.0,1997.0,1998.0,1999.0,9.18,6.47,3.9,2.52,30010.5,32763.36,38211.88,41209.95,43505.71,86006.0,90481.0,100857.0,103754.0,107248.0,9.17298945369121,8.292311899634216,7.69916742295703,7.845910748175698,5.570887613306986,5.203125363346743,5.450868138062134,5.705721442570718,2.8723836719315465,3.367581008924957,3.970209825997953,5.657708978328173,4.136207935710698,3.910413223140496,3.731761066158972,3.770632911392405,5.80076923076923,4.8503614457831326,4.127529411764706,3.7980459770114945,6.679530996986705,5.124349347421101,5.67333804989684,5.9181799451790145,5.9181799451790145,6.78615950066024,6.487061521882616,7.034030662798008,5.515558627006809,4.4382009485592535,1.9792739287194125,2.978020460047574,2.310141406644813,2.043440399309318,1.571721499345963,1.7264234797226963,3.643461610465181,3.0023449110949025,1.7797323935079394,1.7507960957224815
6,1996,33.9,-78.0,100,3,954,Fran,9,Brunswick,NC,37019,5.59,203.54,"Brunswick, NC",11898.7,26300.0,1994.0,1995.0,1997.0,1998.0,1999.0,8.11,8.86,7.2,6.14,9747.71,10811.48,13194.24,14579.64,15674.26,23791.0,25013.0,28428.0,30220.0,31502.0,10.913024700160353,10.056162523539804,10.88808021044315,10.500036379511055,7.507867135265349,5.136396116178387,5.145324431295726,8.091254752851711,6.303644294357675,4.242223692918596,3.970209825997953,5.657708978328173,4.136207935710698,3.910413223140496,3.731761066158972,3.770632911392405,5.80076923076923,4.8503614457831326,4.127529411764706,3.7980459770114945,6.679530996986705,5.124349347421101,5.67333804989684,5.9181799451790145,5.9181799451790145,6.78615950066024,6.487061521882616,7.034030662798008,5.515558627006809,4.4382009485592535,1.9792739287194125,2.978020460047574,2.310141406644813,2.043440399309318,1.571721499345963,1.7264234797226963,3.643461610465181,3.0023449110949025,1.7797323935079394,1.7507960957224815
5,1997,29.3,-89.7,65,1,989,Danny,7,Plaquemines,LA,22075,-1.53,117.3,"Plaquemines, LA",5339.22,22428.0,1995.0,1996.0,1998.0,1999.0,2000.0,9.2,10.56,7.42,1.98,4840.47,5036.06,5444.85,5487.56,5800.27,20410.0,21865.0,23066.0,21895.0,21332.0,4.040723318190179,6.019785308356132,1.9783788643284992,0.7844109571429889,5.6985253919774905,7.128858402743752,2.574891378916076,2.8446584626359908,-5.076736321859014,-2.5713633249600365,4.136207935710698,3.970209825997953,3.910413223140496,3.731761066158972,5.030629011553273,5.271111111111111,4.251162790697674,4.634255319148936,3.612765957446809,4.242692307692308,5.67333804989684,6.679530996986705,5.9181799451790145,4.172023912178539,4.172023912178539,5.356270342694326,4.735812852353124,4.475945689146853,2.7258902443150714,5.177130482759295,2.310141406644813,1.9792739287194125,2.043440399309318,1.571721499345963,1.7682218592596166,2.6940532894639984,2.3477729987057727,1.344399346405334,0.651563589965798,0.769365710682007
5,1997,30.2,-88.1,70,1,984,Danny,7,Mobile,AL,01097,4.88,263.2,"Mobile, AL",78989.85,213334.0,1995.0,1996.0,1998.0,1999.0,2000.0,3.3,4.02,3.93,3.16,72499.21,75484.81,84829.67,85335.65,88091.25,204219.0,208206.0,216432.0,216083.0,217097.0,4.118113838757679,4.643371295496416,7.393127091645309,0.5964658355973752,3.22913108413659,1.952315896170288,2.4629453521992644,1.452182961928244,-0.1612515709322096,0.4692641253592369,4.136207935710698,3.970209825997953,3.910413223140496,3.731761066158972,5.030629011553273,4.37452380952381,3.665238095238095,4.602888888888889,2.341086956521739,3.1030188679245283,5.67333804989684,6.679530996986705,5.9181799451790145,4.172023912178539,4.172023912178539,5.030053339439006,4.493981442463609,5.970424601336301,3.6579293416989564,3.1599502805561905,2.310141406644813,1.9792739287194125,2.043440399309318,1.571721499345963,1.7682218592596166,1.8657125586679986,1.3196606844528243,1.6635498035006964,0.7590725313925768,0.1509343107638317
5,1997,30.4,-87.9,65,1,986,Danny,7,Baldwin,AL,01003,6.53,215.14,"Baldwin, AL",30537.44,60806.0,1995.0,1996.0,1998.0,1999.0,2000.0,3.81,4.56,2.6,3.98,25541.78,27964.79,33100.43,34873.04,37714.17,54511.0,56932.0,64758.0,67472.0,69423.0,9.48645709108763,9.199604216588066,8.392943219863884,5.355247650861335,8.14706719001268,4.441305424593201,6.804609007236703,6.4993586159260595,4.190987986040335,2.8915698363765707,4.136207935710698,3.970209825997953,3.910413223140496,3.731761066158972,5.030629011553273,4.37452380952381,3.665238095238095,4.602888888888889,2.341086956521739,3.1030188679245283,5.67333804989684,6.679530996986705,5.9181799451790145,4.172023912178539,4.172023912178539,5.030053339439006,4.493981442463609,5.970424601336301,3.6579293416989564,3.1599502805561905,2.310141406644813,1.9792739287194125,2.043440399309318,1.571721499345963,1.7682218592596166,1.8657125586679986,1.3196606844528243,1.6635498035006964,0.7590725313925768,0.1509343107638317
2,1998,34.4,-77.7,95,2,964,Bonnie,8,Pender,NC,37141,6.91,174.42,"Pender, NC",7691.45,12349.0,1996.0,1997.0,1999.0,2000.0,2001.0,6.46,2.14,6.31,4.56,7011.52,7548.77,8222.59,8812.27,9424.68,11532.0,12210.0,12573.0,12894.0,13076.0,7.662389895486285,1.890109249586348,6.905589973282026,7.171463006181754,6.949514710738549,5.879292403746097,1.1384111384111384,1.8139120576564904,2.553089954664758,1.4115092290988056,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.127529411764706,4.8503614457831326,3.7980459770114945,5.6388421052631585,5.185773195876289,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,5.515558627006809,7.034030662798008,4.4382009485592535,6.134111125373904,4.9290063782815885,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,1.7797323935079394,3.0023449110949025,1.7507960957224815,1.1283507120776723,-2.1899508102848424
5,1998,30.1,-85.7,70,1,987,Earl,9,Bay,FL,12005,5.56,311.73,"Bay, FL",34001.83,82258.0,1996.0,1997.0,1999.0,2000.0,2001.0,4.78,1.98,3.96,7.29,30730.69,32343.86,35118.71,36548.73,40164.35,79624.0,80779.0,82839.0,83228.0,84003.0,5.2493777393218375,5.126073387653796,3.284764378858424,4.071960501966058,9.892600919375298,1.450567668039787,1.8309214028398468,0.70631427946218,0.4695855816704692,0.9311770077377806,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.533207547169811,3.1686,3.3162264150943392,5.841428571428572,8.74767857142857,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,7.7380660344615935,6.529043543798591,4.455538857543472,7.039608155837551,7.480179043654286,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,3.2395563022306115,3.7935124468376062,2.003655065111655,2.899257141463298,1.5991199393227566
7,1998,24.5,-81.8,90,2,981,Georges,9,Monroe,FL,12087,7.37,313.55,"Monroe, FL",28208.84,52382.0,1996.0,1997.0,1999.0,2000.0,2001.0,6.2,5.86,14.89,11.29,24428.11,25659.03,28535.08,31506.09,32496.03,48716.0,50528.0,52040.0,53458.0,53881.0,5.0389489813170085,9.937281339162087,1.1565168932859402,10.41178086761978,3.1420592018876308,3.719517201740701,3.669252691576948,-0.6528960329884311,2.724827056110684,0.7912753937670695,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.533207547169811,3.1686,3.3162264150943392,5.841428571428572,8.74767857142857,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,7.7380660344615935,6.529043543798591,4.455538857543472,7.039608155837551,7.480179043654286,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,3.2395563022306115,3.7935124468376062,2.003655065111655,2.899257141463298,1.5991199393227566
7,1998,30.4,-88.9,90,2,964,Georges,9,Harrison,MS,28047,5.31,256.11,"Harrison, MS",42621.37,119120.0,1996.0,1997.0,1999.0,2000.0,2001.0,4.08,5.74,5.58,4.21,37238.88,39177.91,45767.25,48670.64,48573.83,111527.0,115917.0,124321.0,125250.0,124551.0,5.207004077458845,8.789289678801138,7.3809922111841955,6.343815719755938,-0.198908417888069,3.936266554287303,2.7631840023465064,4.366185359301545,0.7472591114936334,-0.5580838323353293,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.278913043478261,4.826,5.2034782608695656,3.338909090909091,4.555090909090909,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,5.73888990154406,5.943838920992333,3.338195562949884,4.79063479364491,6.5536493218878595,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,1.8183165665511256,1.8589885686356458,1.709209723182993,0.5236013235349743,-1.7896295567344438
